time,Z,N,E
258.0,236394.71780954488,-6404.453157959354,-98045.95784363303
258.2,28477.826436426574,55489.865543595704,-102582.42246964456
258.4,-153603.38707381708,77790.38374686094,-71781.15992139907
258.6,-293458.276144827,108712.93139746292,-44753.981254668004
258.8,-505127.4772168336,132648.91559891647,10474.426228094744
259.0,-770181.3369461364,171326.25879734269,88964.9969037219
259.2,-874774.9293750798,144370.16781828323,136901.3982492182
259.4,-1055320.955419564,278480.30485426885,180309.6654678982
259.6,-1227292.8877828543,445180.50989882584,254380.34969532053
259.8,-1323877.458733805,614380.2586893338,303705.0605282513
260.0,-1396983.6966743309,791536.9076990786,293579.4176013018
260.2,-1448634.2342256054,938919.4606267249,285405.21511631354
260.4,-1302313.8864936111,964124.9636118038,244780.4613228243
260.6,-982586.8638846889,1001618.5320126779,182098.67671940546
260.8,-664049.0738177717,1032847.9945047935,145600.12194876387
261.0,-332862.95825981087,1034124.0437200479,81740.70345611894
261.2,98610.6112306326,972652.303412504,62667.34386796106
261.4,447317.5101853295,851902.6611587076,38582.25207708387
261.6,702249.5936051246,695013.5079951112,31553.200079829974
261.8,889021.8964747015,556316.2545199536,50211.24371854593
262.0,939590.0909894723,374730.89695259,45404.35733969425
262.2,1016194.7061496752,105934.51915782044,70899.72784296089
262.4,1079945.762549841,-217454.08131199534,95785.27623066332
262.6,1083750.488863801,-534640.5735771152,111054.71860050313
262.8,1120602.272295778,-856254.3490423375,111133.69361687856
263.0,1080117.507873558,-1155503.4929356526,81123.10313986706
263.2,1012691.9910536759,-1306448.3444072276,-8820.94192498712
263.4,853214.6723364298,-1342053.1400907433,-84344.9356469477
263.6,624374.89153532,-1260083.5682084318,-179197.73356947541
263.8,300221.8008555903,-1062200.7117197816,-233302.50082658383
264.0,25949.92216198699,-865521.0154833522,-249558.51941158838
264.2,-207583.68741031815,-642124.1781269218,-256883.35081552825
264.4,-301287.03872050735,-453640.10931110993,-227978.75185968424
264.6,-318867.1989967942,-306355.0244584258,-171762.08894613068
264.8,-311284.76494375244,-225782.4059479185,-98184.99437448825
265.0,-360662.4637401539,-248293.37002801689,-29798.021733760674
265.2,-368983.97877337417,-298919.7729899651,30351.733934750802
265.4,-423186.07809855224,-301207.34759314265,105161.06714031774
265.6,-489838.4273825618,-307625.39430446917,197370.61715537458
265.8,-489620.37040093355,-293845.3993404658,243364.88087901133
266.0,-493802.4275180303,-260681.5458051518,236800.94444560225
266.2,-460453.49450316286,-175322.0041493792,208225.52482610976
266.4,-398924.65403818997,-30943.709125299203,172165.59803729333
266.6,-334259.5135374403,92164.42097388279,142348.22244418648
266.8,-300104.153190943,156893.21711241791,135960.13291511193
267.0,-195294.07724195463,225925.49488447697,137558.47162142937
267.2,-14777.18325601328,254948.69151321016,140576.96880575095
267.4,171853.104273707,273437.43065082503,124869.29038884823
267.6,311968.23244660755,294009.84875569824,94154.69897124499
267.8,444917.373292215,306944.49006635626,44384.943484061245
268.0,497013.4846209038,403442.5032194284,151.78604596079668
